"","Param","Date","Year","Units","Month","Result"
"3349","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.91
"3350","pH",2009-07-21,2009,"pH","Jul",6.9
"3351","Temperature, water",2009-07-21,2009,"deg C","Jul",18.51
"3352","pH",2009-07-21,2009,"pH","Jul",6.82
"3353","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",6.56
"3354","Temperature, water",2009-07-21,2009,"deg C","Jul",19.12
"3355","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.1
"3356","Temperature, water",2009-07-21,2009,"deg C","Jul",19.17
"3357","pH",2009-07-21,2009,"pH","Jul",7.08
"3358","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.19
"3359","pH",2009-07-21,2009,"pH","Jul",7.36
"3360","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.48
"3361","Temperature, water",2009-07-21,2009,"deg C","Jul",11.45
"3362","pH",2009-07-21,2009,"pH","Jul",7.18
"3363","pH",2009-07-21,2009,"pH","Jul",6.73
"3364","Temperature, water",2009-07-21,2009,"deg C","Jul",16.3
"3365","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.73
"3366","pH",2009-07-21,2009,"pH","Jul",6.91
"3367","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.95
"3368","Temperature, water",2009-07-21,2009,"deg C","Jul",17.63
"3369","pH",2009-07-21,2009,"pH","Jul",6.83
"3370","Temperature, water",2009-07-21,2009,"deg C","Jul",18.39
"3371","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",6.57
"3372","Temperature, water",2009-07-21,2009,"deg C","Jul",18.96
"3373","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.13
"3374","Temperature, water",2009-07-21,2009,"deg C","Jul",19
"3375","pH",2009-07-21,2009,"pH","Jul",7.08
"3376","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.17
"3377","pH",2009-07-21,2009,"pH","Jul",7.36
"3378","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.46
"3379","Temperature, water",2009-07-21,2009,"deg C","Jul",11.39
"3380","pH",2009-07-21,2009,"pH","Jul",7.17
"3381","Temperature, water",2009-07-21,2009,"deg C","Jul",16.24
"3382","pH",2009-07-21,2009,"pH","Jul",6.74
"3383","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.7
"3384","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.98
"3385","Temperature, water",2009-07-21,2009,"deg C","Jul",17.49
"3386","pH",2009-07-21,2009,"pH","Jul",6.91
"3387","pH",2009-07-21,2009,"pH","Jul",6.82
"3388","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",6.57
"3389","Temperature, water",2009-07-21,2009,"deg C","Jul",18.29
"3390","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.18
"3391","Temperature, water",2009-07-21,2009,"deg C","Jul",18.8
"3392","pH",2009-07-21,2009,"pH","Jul",7.08
"3393","Temperature, water",2009-07-21,2009,"deg C","Jul",18.84
"3394","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.18
"3395","pH",2009-07-21,2009,"pH","Jul",7.36
"3396","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.51
"3397","pH",2009-07-21,2009,"pH","Jul",7.18
"3398","Temperature, water",2009-07-21,2009,"deg C","Jul",11.34
"3399","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.67
"3400","Temperature, water",2009-07-21,2009,"deg C","Jul",16.19
"3401","pH",2009-07-21,2009,"pH","Jul",6.74
"3402","pH",2009-07-21,2009,"pH","Jul",6.91
"3403","Temperature, water",2009-07-21,2009,"deg C","Jul",17.33
"3404","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.02
"3405","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",6.57
"3406","pH",2009-07-21,2009,"pH","Jul",6.82
"3407","Temperature, water",2009-07-21,2009,"deg C","Jul",18.17
"3408","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.21
"3409","Temperature, water",2009-07-21,2009,"deg C","Jul",18.65
"3410","Temperature, water",2009-07-21,2009,"deg C","Jul",18.69
"3411","pH",2009-07-21,2009,"pH","Jul",7.08
"3412","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.2
"3413","pH",2009-07-21,2009,"pH","Jul",7.35
"3414","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.56
"3415","pH",2009-07-21,2009,"pH","Jul",7.18
"3416","Temperature, water",2009-07-21,2009,"deg C","Jul",11.28
"3417","Temperature, water",2009-07-21,2009,"deg C","Jul",16.14
"3418","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.77
"3419","pH",2009-07-21,2009,"pH","Jul",6.73
"3420","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.05
"3421","Temperature, water",2009-07-21,2009,"deg C","Jul",17.17
"3422","pH",2009-07-21,2009,"pH","Jul",6.9
"3423","Temperature, water",2009-07-21,2009,"deg C","Jul",18.07
"3424","pH",2009-07-21,2009,"pH","Jul",6.82
"3425","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",6.58
"3426","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.25
"3427","Temperature, water",2009-07-21,2009,"deg C","Jul",18.49
"3428","pH",2009-07-21,2009,"pH","Jul",7.09
"3429","Temperature, water",2009-07-21,2009,"deg C","Jul",18.53
"3430","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.24
"3431","pH",2009-07-21,2009,"pH","Jul",7.36
"3432","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.6
"3433","pH",2009-07-21,2009,"pH","Jul",7.17
"3434","Temperature, water",2009-07-21,2009,"deg C","Jul",11.23
"3435","Temperature, water",2009-07-21,2009,"deg C","Jul",16.1
"3436","pH",2009-07-21,2009,"pH","Jul",6.74
"3437","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.7
"3438","Temperature, water",2009-07-21,2009,"deg C","Jul",17.04
"3439","pH",2009-07-21,2009,"pH","Jul",6.9
"3440","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.07
"3441","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",6.58
"3442","Temperature, water",2009-07-21,2009,"deg C","Jul",17.97
"3443","pH",2009-07-21,2009,"pH","Jul",6.82
"3444","Temperature, water",2009-07-21,2009,"deg C","Jul",18.33
"3445","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.29
"3446","pH",2009-07-21,2009,"pH","Jul",7.08
"3447","Temperature, water",2009-07-21,2009,"deg C","Jul",18.38
"3448","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.26
"3449","pH",2009-07-21,2009,"pH","Jul",7.37
"3450","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.6
"3451","Temperature, water",2009-07-21,2009,"deg C","Jul",11.18
"3452","pH",2009-07-21,2009,"pH","Jul",7.17
"3453","pH",2009-07-21,2009,"pH","Jul",6.73
"3454","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.78
"3455","Temperature, water",2009-07-21,2009,"deg C","Jul",16.05
"3456","Temperature, water",2009-07-21,2009,"deg C","Jul",16.9
"3457","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",8.12
"3458","pH",2009-07-21,2009,"pH","Jul",6.91
"3459","Temperature, water",2009-07-21,2009,"deg C","Jul",17.88
"3460","pH",2009-07-21,2009,"pH","Jul",6.81
"3461","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",6.59
"3462","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.33
"3463","Temperature, water",2009-07-21,2009,"deg C","Jul",18.18
"3464","pH",2009-07-21,2009,"pH","Jul",7.09
"3465","Temperature, water",2009-07-21,2009,"deg C","Jul",18.21
"3466","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",9.26
"3467","pH",2009-07-21,2009,"pH","Jul",7.37
"3468","Dissolved Oxygen",2009-07-21,2009,"mg/L","Jul",7.64
"3469","pH",2009-07-22,2009,"pH","Jul",7.17
"3470","Temperature, water",2009-07-22,2009,"deg C","Jul",11.12
"3471","Temperature, water",2009-07-22,2009,"deg C","Jul",16.01
"3472","pH",2009-07-22,2009,"pH","Jul",6.74
"3473","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.74
"3474","pH",2009-07-22,2009,"pH","Jul",6.91
"3475","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.12
"3476","Temperature, water",2009-07-22,2009,"deg C","Jul",16.79
"3477","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",6.59
"3478","pH",2009-07-22,2009,"pH","Jul",6.81
"3479","Temperature, water",2009-07-22,2009,"deg C","Jul",17.8
"3480","Temperature, water",2009-07-22,2009,"deg C","Jul",18.02
"3481","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.35
"3482","Temperature, water",2009-07-22,2009,"deg C","Jul",18.06
"3483","pH",2009-07-22,2009,"pH","Jul",7.1
"3484","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",9.27
"3485","pH",2009-07-22,2009,"pH","Jul",7.37
"3486","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.67
"3487","Temperature, water",2009-07-22,2009,"deg C","Jul",11.06
"3488","pH",2009-07-22,2009,"pH","Jul",7.17
"3489","pH",2009-07-22,2009,"pH","Jul",6.74
"3490","Temperature, water",2009-07-22,2009,"deg C","Jul",15.96
"3491","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.75
"3492","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.15
"3493","pH",2009-07-22,2009,"pH","Jul",6.91
"3494","Temperature, water",2009-07-22,2009,"deg C","Jul",16.67
"3495","Temperature, water",2009-07-22,2009,"deg C","Jul",17.69
"3496","pH",2009-07-22,2009,"pH","Jul",6.82
"3497","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",6.59
"3498","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.4
"3499","Temperature, water",2009-07-22,2009,"deg C","Jul",17.87
"3500","pH",2009-07-22,2009,"pH","Jul",7.1
"3501","Temperature, water",2009-07-22,2009,"deg C","Jul",17.9
"3502","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",9.26
"3503","pH",2009-07-22,2009,"pH","Jul",7.36
"3504","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.75
"3505","Temperature, water",2009-07-22,2009,"deg C","Jul",11
"3506","pH",2009-07-22,2009,"pH","Jul",7.17
"3507","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.73
"3508","pH",2009-07-22,2009,"pH","Jul",6.74
"3509","Temperature, water",2009-07-22,2009,"deg C","Jul",15.91
"3510","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.18
"3511","pH",2009-07-22,2009,"pH","Jul",6.91
"3512","Temperature, water",2009-07-22,2009,"deg C","Jul",16.56
"3513","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",6.61
"3514","pH",2009-07-22,2009,"pH","Jul",6.81
"3515","Temperature, water",2009-07-22,2009,"deg C","Jul",17.61
"3516","Temperature, water",2009-07-22,2009,"deg C","Jul",17.72
"3517","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.43
"3518","pH",2009-07-22,2009,"pH","Jul",7.1
"3519","Temperature, water",2009-07-22,2009,"deg C","Jul",17.76
"3520","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",9.26
"3521","pH",2009-07-22,2009,"pH","Jul",7.37
"3522","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.71
"3523","pH",2009-07-22,2009,"pH","Jul",7.18
"3524","Temperature, water",2009-07-22,2009,"deg C","Jul",10.95
"3525","pH",2009-07-22,2009,"pH","Jul",6.75
"3526","Temperature, water",2009-07-22,2009,"deg C","Jul",15.87
"3527","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.73
"3528","pH",2009-07-22,2009,"pH","Jul",6.91
"3529","Temperature, water",2009-07-22,2009,"deg C","Jul",16.46
"3530","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.2
"3531","Temperature, water",2009-07-22,2009,"deg C","Jul",17.54
"3532","pH",2009-07-22,2009,"pH","Jul",6.8
"3533","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",6.61
"3534","Temperature, water",2009-07-22,2009,"deg C","Jul",17.58
"3535","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.46
"3536","Temperature, water",2009-07-22,2009,"deg C","Jul",17.62
"3537","pH",2009-07-22,2009,"pH","Jul",7.11
"3538","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",9.28
"3539","pH",2009-07-22,2009,"pH","Jul",7.36
"3540","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.79
"3541","pH",2009-07-22,2009,"pH","Jul",7.18
"3542","Temperature, water",2009-07-22,2009,"deg C","Jul",10.89
"3543","Temperature, water",2009-07-22,2009,"deg C","Jul",15.82
"3544","pH",2009-07-22,2009,"pH","Jul",6.75
"3545","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.86
"3546","pH",2009-07-22,2009,"pH","Jul",6.91
"3547","Temperature, water",2009-07-22,2009,"deg C","Jul",16.34
"3548","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.22
"3549","Temperature, water",2009-07-22,2009,"deg C","Jul",17.47
"3550","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",6.62
"3551","pH",2009-07-22,2009,"pH","Jul",6.81
"3552","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.5
"3553","Temperature, water",2009-07-22,2009,"deg C","Jul",17.44
"3554","pH",2009-07-22,2009,"pH","Jul",7.11
"3555","Temperature, water",2009-07-22,2009,"deg C","Jul",17.48
"3556","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",9.3
"3557","pH",2009-07-22,2009,"pH","Jul",7.37
"3558","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.81
"3559","pH",2009-07-22,2009,"pH","Jul",7.17
"3560","Temperature, water",2009-07-22,2009,"deg C","Jul",10.84
"3561","Temperature, water",2009-07-22,2009,"deg C","Jul",15.78
"3562","pH",2009-07-22,2009,"pH","Jul",6.75
"3563","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.74
"3564","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.25
"3565","pH",2009-07-22,2009,"pH","Jul",6.91
"3566","Temperature, water",2009-07-22,2009,"deg C","Jul",16.24
"3567","Temperature, water",2009-07-22,2009,"deg C","Jul",17.37
"3568","pH",2009-07-22,2009,"pH","Jul",6.82
"3569","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",6.64
"3570","Temperature, water",2009-07-22,2009,"deg C","Jul",17.3
"3571","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.53
"3572","pH",2009-07-22,2009,"pH","Jul",7.11
"3573","Temperature, water",2009-07-22,2009,"deg C","Jul",17.35
"3574","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",9.33
"3575","pH",2009-07-22,2009,"pH","Jul",7.37
"3576","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.86
"3577","pH",2009-07-22,2009,"pH","Jul",7.18
"3578","Temperature, water",2009-07-22,2009,"deg C","Jul",10.79
"3579","Temperature, water",2009-07-22,2009,"deg C","Jul",15.74
"3580","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.84
"3581","pH",2009-07-22,2009,"pH","Jul",6.74
"3582","Temperature, water",2009-07-22,2009,"deg C","Jul",16.13
"3583","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.26
"3584","pH",2009-07-22,2009,"pH","Jul",6.91
"3585","pH",2009-07-22,2009,"pH","Jul",6.81
"3586","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",6.65
"3587","Temperature, water",2009-07-22,2009,"deg C","Jul",17.3
"3588","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.56
"3589","Temperature, water",2009-07-22,2009,"deg C","Jul",17.17
"3590","Temperature, water",2009-07-22,2009,"deg C","Jul",17.23
"3591","pH",2009-07-22,2009,"pH","Jul",7.12
"3592","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",9.33
"3593","pH",2009-07-22,2009,"pH","Jul",7.37
"3594","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.84
"3595","pH",2009-07-22,2009,"pH","Jul",7.18
"3596","Temperature, water",2009-07-22,2009,"deg C","Jul",10.73
"3597","Temperature, water",2009-07-22,2009,"deg C","Jul",15.7
"3598","pH",2009-07-22,2009,"pH","Jul",6.75
"3599","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.87
"3600","pH",2009-07-22,2009,"pH","Jul",6.91
"3601","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.29
"3602","Temperature, water",2009-07-22,2009,"deg C","Jul",16.04
"3603","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",6.66
"3604","pH",2009-07-22,2009,"pH","Jul",6.81
"3605","Temperature, water",2009-07-22,2009,"deg C","Jul",17.24
"3606","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.6
"3607","Temperature, water",2009-07-22,2009,"deg C","Jul",17.04
"3608","pH",2009-07-22,2009,"pH","Jul",7.12
"3609","Temperature, water",2009-07-22,2009,"deg C","Jul",17.1
"3610","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",9.32
"3611","pH",2009-07-22,2009,"pH","Jul",7.37
"3612","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.88
"3613","pH",2009-07-22,2009,"pH","Jul",7.17
"3614","Temperature, water",2009-07-22,2009,"deg C","Jul",10.68
"3615","Temperature, water",2009-07-22,2009,"deg C","Jul",15.66
"3616","pH",2009-07-22,2009,"pH","Jul",6.75
"3617","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.81
"3618","Temperature, water",2009-07-22,2009,"deg C","Jul",15.93
"3619","pH",2009-07-22,2009,"pH","Jul",6.91
"3620","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.31
"3621","Temperature, water",2009-07-22,2009,"deg C","Jul",17.17
"3622","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",6.66
"3623","pH",2009-07-22,2009,"pH","Jul",6.81
"3624","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.62
"3625","Temperature, water",2009-07-22,2009,"deg C","Jul",16.92
"3626","Temperature, water",2009-07-22,2009,"deg C","Jul",16.98
"3627","pH",2009-07-22,2009,"pH","Jul",7.13
"3628","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",9.35
"3629","pH",2009-07-22,2009,"pH","Jul",7.38
"3630","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.92
"3631","pH",2009-07-22,2009,"pH","Jul",7.17
"3632","Temperature, water",2009-07-22,2009,"deg C","Jul",10.63
"3633","Temperature, water",2009-07-22,2009,"deg C","Jul",15.62
"3634","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.84
"3635","pH",2009-07-22,2009,"pH","Jul",6.75
"3636","Temperature, water",2009-07-22,2009,"deg C","Jul",15.86
"3637","pH",2009-07-22,2009,"pH","Jul",6.91
"3638","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.32
"3639","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",6.67
"3640","Temperature, water",2009-07-22,2009,"deg C","Jul",17.1
"3641","pH",2009-07-22,2009,"pH","Jul",6.81
"3642","Temperature, water",2009-07-22,2009,"deg C","Jul",16.82
"3643","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.65
"3644","pH",2009-07-22,2009,"pH","Jul",7.13
"3645","Temperature, water",2009-07-22,2009,"deg C","Jul",16.87
"3646","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",9.39
"3647","pH",2009-07-22,2009,"pH","Jul",7.37
"3648","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.95
"3649","pH",2009-07-22,2009,"pH","Jul",7.17
"3650","Temperature, water",2009-07-22,2009,"deg C","Jul",10.58
"3651","pH",2009-07-22,2009,"pH","Jul",6.75
"3652","Temperature, water",2009-07-22,2009,"deg C","Jul",15.58
"3653","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.87
"3654","Temperature, water",2009-07-22,2009,"deg C","Jul",15.74
"3655","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.35
"3656","pH",2009-07-22,2009,"pH","Jul",6.91
"3657","Temperature, water",2009-07-22,2009,"deg C","Jul",17.03
"3658","pH",2009-07-22,2009,"pH","Jul",6.81
"3659","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",6.69
"3660","Temperature, water",2009-07-22,2009,"deg C","Jul",16.7
"3661","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.69
"3662","pH",2009-07-22,2009,"pH","Jul",7.14
"3663","Temperature, water",2009-07-22,2009,"deg C","Jul",16.76
"3664","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",9.39
"3665","pH",2009-07-22,2009,"pH","Jul",7.37
"3666","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.01
"3667","pH",2009-07-22,2009,"pH","Jul",7.18
"3668","Temperature, water",2009-07-22,2009,"deg C","Jul",10.53
"3669","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.88
"3670","pH",2009-07-22,2009,"pH","Jul",6.74
"3671","Temperature, water",2009-07-22,2009,"deg C","Jul",15.55
"3672","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.36
"3673","pH",2009-07-22,2009,"pH","Jul",6.91
"3674","Temperature, water",2009-07-22,2009,"deg C","Jul",15.66
"3675","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",6.71
"3676","pH",2009-07-22,2009,"pH","Jul",6.82
"3677","Temperature, water",2009-07-22,2009,"deg C","Jul",16.98
"3678","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.71
"3679","Temperature, water",2009-07-22,2009,"deg C","Jul",16.59
"3680","pH",2009-07-22,2009,"pH","Jul",7.14
"3681","Temperature, water",2009-07-22,2009,"deg C","Jul",16.66
"3682","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",9.42
"3683","pH",2009-07-22,2009,"pH","Jul",7.38
"3684","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.99
"3685","Temperature, water",2009-07-22,2009,"deg C","Jul",10.49
"3686","pH",2009-07-22,2009,"pH","Jul",7.17
"3687","Temperature, water",2009-07-22,2009,"deg C","Jul",15.52
"3688","pH",2009-07-22,2009,"pH","Jul",6.75
"3689","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.77
"3690","Temperature, water",2009-07-22,2009,"deg C","Jul",15.59
"3691","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.38
"3692","pH",2009-07-22,2009,"pH","Jul",6.92
"3693","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",6.71
"3694","Temperature, water",2009-07-22,2009,"deg C","Jul",16.91
"3695","pH",2009-07-22,2009,"pH","Jul",6.81
"3696","Temperature, water",2009-07-22,2009,"deg C","Jul",16.5
"3697","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.72
"3698","Temperature, water",2009-07-22,2009,"deg C","Jul",16.56
"3699","pH",2009-07-22,2009,"pH","Jul",7.14
"3700","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",9.4
"3701","pH",2009-07-22,2009,"pH","Jul",7.38
"3702","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.04
"3703","pH",2009-07-22,2009,"pH","Jul",7.17
"3704","Temperature, water",2009-07-22,2009,"deg C","Jul",10.44
"3705","Temperature, water",2009-07-22,2009,"deg C","Jul",15.49
"3706","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.9
"3707","pH",2009-07-22,2009,"pH","Jul",6.74
"3708","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.41
"3709","pH",2009-07-22,2009,"pH","Jul",6.92
"3710","Temperature, water",2009-07-22,2009,"deg C","Jul",15.51
"3711","pH",2009-07-22,2009,"pH","Jul",6.81
"3712","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",6.72
"3713","Temperature, water",2009-07-22,2009,"deg C","Jul",16.85
"3714","Temperature, water",2009-07-22,2009,"deg C","Jul",16.41
"3715","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.75
"3716","pH",2009-07-22,2009,"pH","Jul",7.14
"3717","Temperature, water",2009-07-22,2009,"deg C","Jul",16.47
"3718","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",9.43
"3719","pH",2009-07-22,2009,"pH","Jul",7.37
"3720","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.05
"3721","pH",2009-07-22,2009,"pH","Jul",7.18
"3722","Temperature, water",2009-07-22,2009,"deg C","Jul",10.4
"3723","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.83
"3724","Temperature, water",2009-07-22,2009,"deg C","Jul",15.46
"3725","pH",2009-07-22,2009,"pH","Jul",6.74
"3726","pH",2009-07-22,2009,"pH","Jul",6.92
"3727","Temperature, water",2009-07-22,2009,"deg C","Jul",15.43
"3728","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.42
"3729","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",6.73
"3730","Temperature, water",2009-07-22,2009,"deg C","Jul",16.81
"3731","pH",2009-07-22,2009,"pH","Jul",6.81
"3732","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.76
"3733","Temperature, water",2009-07-22,2009,"deg C","Jul",16.32
"3734","Temperature, water",2009-07-22,2009,"deg C","Jul",16.37
"3735","pH",2009-07-22,2009,"pH","Jul",7.14
"3736","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",9.4
"3737","pH",2009-07-22,2009,"pH","Jul",7.39
"3738","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.04
"3739","Temperature, water",2009-07-22,2009,"deg C","Jul",10.36
"3740","pH",2009-07-22,2009,"pH","Jul",7.17
"3741","Temperature, water",2009-07-22,2009,"deg C","Jul",15.42
"3742","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.94
"3743","pH",2009-07-22,2009,"pH","Jul",6.74
"3744","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.44
"3745","Temperature, water",2009-07-22,2009,"deg C","Jul",15.34
"3746","pH",2009-07-22,2009,"pH","Jul",6.92
"3747","pH",2009-07-22,2009,"pH","Jul",6.82
"3748","Temperature, water",2009-07-22,2009,"deg C","Jul",16.73
"3749","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",6.76
"3750","Temperature, water",2009-07-22,2009,"deg C","Jul",16.22
"3751","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",7.8
"3752","pH",2009-07-22,2009,"pH","Jul",7.13
"3753","Temperature, water",2009-07-22,2009,"deg C","Jul",16.28
"3754","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",9.41
"3755","pH",2009-07-22,2009,"pH","Jul",7.39
"3756","Dissolved Oxygen",2009-07-22,2009,"mg/L","Jul",8.09
"3757","pH",2009-07-22,2009,"pH","Jul",7.18
"3758","Temperature, water",2009-07-22,2009,"deg C","Jul",10.31
"3759","Temperature, water",2009-07-22,2009,"deg C","Jul",15.39
