"","applied_amount","measurement_unit","applied_date","applied_year","practice_code","practice_name","program","land_use","land_unit_id","land_unit_acres","huc12","affiliate_type","land_unit_has_multiple_instances_of_same_practice_code","land_unit_has_multiple_instances_of_same_practice_code_applied_the_same_year","duplicates_id_yr_code","duplicates_id_yr_code_amt","flagged_for_removal"
"4346",8.5,"Ac",2016-03-15,2016,"595","Pest Management Conservation System","CRP","Associated Ag Land","{7EF2A206-A9F7-4EDD-9E9F-3E936331900B}",8.5,"170701020405","NRCS","yes","no",1,1,0
"4347",8.5,"Ac",2012-10-02,2013,"645","Upland Wildlife Habitat Management","CRP","Associated Ag Land","{7EF2A206-A9F7-4EDD-9E9F-3E936331900B}",8.5,"170701020405","NRCS","no","no",1,1,0
"4348",13.2,"Ac",2011-08-30,2011,"327","Conservation Cover","CRP","Crop","{7EFCDBC2-CE7A-44D3-9D97-7BF8A54C343B}",13.2,"170601070608","NRCS","no","no",1,1,0
"4349",3.9,"Ac",2004-04-15,2004,"327","Conservation Cover","CRP","Crop","{7F2AFA04-2995-4312-8AFF-066E004011C0}",3.9,"170701020307","NRCS","no","no",1,1,0
"4350",40.8,"Ac",2022-09-30,2022,"590","Nutrient Management","CTA-GENRL","Crop","{7F57BA28-051A-4C29-9055-2679CB63B965}",40.8,"170601070505","NRCS","yes","no",1,1,0
"4351",40.8,"Ac",2023-09-15,2023,"590","Nutrient Management","CTA-GENRL","Crop","{7F57BA28-051A-4C29-9055-2679CB63B965}",40.8,"170601070505","NRCS","yes","yes",1,1,0
"4352",40.8,"Ac",2023-09-15,2023,"595","Pest Management Conservation System","CTA-GENRL","Crop","{7F57BA28-051A-4C29-9055-2679CB63B965}",40.8,"170601070505","NRCS","no","no",1,1,0
"4353",105.4,"Ac",2023-09-29,2023,"595","Pest Management Conservation System","CStwP","Crop","{7F8806A9-86B4-4E7D-8653-9C0807C100F9}",105.4,"170601070704","NRCS","no","no",1,1,0
"4354",7.5,"Ac",2011-06-09,2011,"490","Tree/Shrub Site Preparation","EQIP","Forest","{7FA37584-832D-4EBC-BFD2-32F90B056F85}",7.5,"170701020306","NRCS","no","no",1,1,0
"4355",7.5,"Ac",2011-06-09,2011,"612","Tree/Shrub Establishment","EQIP","Forest","{7FA37584-832D-4EBC-BFD2-32F90B056F85}",7.5,"170701020306","NRCS","no","no",1,1,0
"4356",12.6,"Ac",2017-04-01,2017,"327","Conservation Cover","CRP","Crop","{7FB8A941-6932-4A49-BC11-1D30CF57505D}",12.6,"170701020307","NRCS","no","no",1,1,0
"4357",12.6,"Ac",2013-10-01,2014,"472","Access Control","CRP","Crop","{7FB8A941-6932-4A49-BC11-1D30CF57505D}",12.6,"170701020307","NRCS","no","no",1,1,0
"4358",13.1,"Ac",2006-08-31,2006,"327","Conservation Cover","CRP","Crop","{7FFA2CD6-8ED9-44EC-A9F2-651F7C07FD67}",13.1,"170601070607","NRCS","yes","yes",1,1,0
"4359",13.1,"Ac",2017-01-24,2017,"327","Conservation Cover","CRP","Crop","{7FFA2CD6-8ED9-44EC-A9F2-651F7C07FD67}",13.1,"170601070607","NRCS","yes","yes",1,1,0
"4360",13.1,"Ac",2006-08-31,2006,"472","Access Control","CRP","Crop","{7FFA2CD6-8ED9-44EC-A9F2-651F7C07FD67}",13.1,"170601070607","NRCS","yes","no",1,1,0
"4361",13.1,"Ac",2016-10-30,2017,"472","Access Control","CRP","Crop","{7FFA2CD6-8ED9-44EC-A9F2-651F7C07FD67}",13.1,"170601070607","NRCS","yes","no",1,1,0
"4362",13.1,"Ac",2006-08-31,2006,"595","Pest Management Conservation System","CRP","Crop","{7FFA2CD6-8ED9-44EC-A9F2-651F7C07FD67}",13.1,"170601070607","NRCS","no","no",1,1,0
"4363",13.1,"Ac",2006-08-31,2006,"645","Upland Wildlife Habitat Management","CRP","Crop","{7FFA2CD6-8ED9-44EC-A9F2-651F7C07FD67}",13.1,"170601070607","NRCS","no","no",1,1,0
"4364",0.9,"Ac",2006-09-22,2006,"391","Riparian Forest Buffer","CRP","Other Rural Land","{8066C623-30C4-4905-B43A-5A10B0BA41FE}",0.9,"170701020307","NRCS","no","no",1,1,0
"4365",0.9,"Ac",2006-09-22,2006,"472","Access Control","CRP","Other Rural Land","{8066C623-30C4-4905-B43A-5A10B0BA41FE}",0.9,"170701020307","NRCS","no","no",1,1,0
"4366",1,"Ac",2006-09-22,2006,"484","Mulching","CRP","Other Rural Land","{8066C623-30C4-4905-B43A-5A10B0BA41FE}",0.9,"170701020307","NRCS","no","no",1,1,0
"4367",0.9,"Ac",2005-10-30,2006,"595","Pest Management Conservation System","CRP","Other Rural Land","{8066C623-30C4-4905-B43A-5A10B0BA41FE}",0.9,"170701020307","NRCS","no","no",1,1,0
"4368",1,"Ac",2006-09-22,2006,"612","Tree/Shrub Establishment","CRP","Other Rural Land","{8066C623-30C4-4905-B43A-5A10B0BA41FE}",0.9,"170701020307","NRCS","no","no",1,1,0
"4369",0.9,"Ac",2006-09-22,2006,"645","Upland Wildlife Habitat Management","CRP","Other Rural Land","{8066C623-30C4-4905-B43A-5A10B0BA41FE}",0.9,"170701020307","NRCS","no","no",1,1,0
"4370",19.5,"Ac",2021-02-16,2021,"327","Conservation Cover","CRP","Crop","{8066D9FA-C4CC-4C12-9E7B-1AD2116893A1}",19.57,"170601100102","NRCS","yes","yes",1,1,0
"4371",19.5,"Ac",2021-02-16,2021,"472","Access Control","CRP","Crop","{8066D9FA-C4CC-4C12-9E7B-1AD2116893A1}",19.57,"170601100102","NRCS","no","no",1,1,0
"4372",19.5,"Ac",2022-09-14,2022,"590","Nutrient Management","CTA-GENRL","Crop","{8066D9FA-C4CC-4C12-9E7B-1AD2116893A1}",19.57,"170601100102","NRCS","yes","no",1,1,0
"4373",19.5,"Ac",2023-09-15,2023,"590","Nutrient Management","CTA-GENRL","Crop","{8066D9FA-C4CC-4C12-9E7B-1AD2116893A1}",19.57,"170601100102","NRCS","yes","no",1,1,0
"4374",19.5,"Ac",2022-09-14,2022,"595","Pest Management Conservation System","CTA-GENRL","Crop","{8066D9FA-C4CC-4C12-9E7B-1AD2116893A1}",19.57,"170601100102","NRCS","yes","no",1,1,0
"4375",19.5,"Ac",2023-09-15,2023,"595","Pest Management Conservation System","CTA-GENRL","Crop","{8066D9FA-C4CC-4C12-9E7B-1AD2116893A1}",19.57,"170601100102","NRCS","yes","no",1,1,0
"4376",17.3,"Ac",2010-06-10,2010,"490","Tree/Shrub Site Preparation","EQIP","Forest","{806BBD80-FA15-4526-9120-45E0A52B67CA}",17.3,"170701020303","NRCS","no","no",1,1,0
"4377",17.3,"Ac",2010-06-10,2010,"612","Tree/Shrub Establishment","EQIP","Forest","{806BBD80-FA15-4526-9120-45E0A52B67CA}",17.3,"170701020303","NRCS","no","no",1,1,0
"4378",24.9,"Ac",2008-10-30,2009,"327","Conservation Cover","CRP","Crop","{80B785DB-C2F7-465E-801C-17E7D936042F}",24.88,"170701020401","NRCS","yes","no",1,1,0
"4379",24.9,"Ac",2013-10-30,2014,"327","Conservation Cover","CRP","Crop","{80B785DB-C2F7-465E-801C-17E7D936042F}",24.88,"170701020401","NRCS","yes","no",1,1,0
"4380",24.9,"Ac",2008-10-30,2009,"472","Access Control","CRP","Crop","{80B785DB-C2F7-465E-801C-17E7D936042F}",24.88,"170701020401","NRCS","no","no",1,1,0
"4381",24.9,"Ac",2008-10-30,2009,"645","Upland Wildlife Habitat Management","CRP","Crop","{80B785DB-C2F7-465E-801C-17E7D936042F}",24.88,"170701020401","NRCS","no","no",1,1,0
"4382",63.6,"Ac",2008-12-01,2009,"590","Nutrient Management","EQIP","Crop","{80F7BEB3-3693-4E28-95B9-FF92FE43E777}",63.6,"170601070607","NRCS","yes","no",1,1,0
"4383",63.6,"Ac",2009-11-17,2010,"590","Nutrient Management","EQIP","Crop","{80F7BEB3-3693-4E28-95B9-FF92FE43E777}",63.6,"170601070607","NRCS","yes","no",1,1,0
"4384",63.6,"Ac",2008-12-01,2009,"595","Pest Management Conservation System","EQIP","Crop","{80F7BEB3-3693-4E28-95B9-FF92FE43E777}",63.6,"170601070607","NRCS","yes","no",1,1,0
"4385",63.6,"Ac",2009-11-17,2010,"595","Pest Management Conservation System","EQIP","Crop","{80F7BEB3-3693-4E28-95B9-FF92FE43E777}",63.6,"170601070607","NRCS","yes","no",1,1,0
"4386",389.2,"Ac",2005-02-23,2005,"327","Conservation Cover","CRP","Crop","{8107F607-0D06-423D-9B4C-3FA6FD202898}",389.2,"170701020307","NRCS","no","no",1,1,0
"4387",389.2,"Ac",2005-02-23,2005,"472","Access Control","CRP","Crop","{8107F607-0D06-423D-9B4C-3FA6FD202898}",389.2,"170701020307","NRCS","no","no",1,1,0
"4388",389.2,"Ac",2005-02-23,2005,"595","Pest Management Conservation System","CRP","Crop","{8107F607-0D06-423D-9B4C-3FA6FD202898}",389.2,"170701020307","NRCS","no","no",1,1,0
"4389",389.2,"Ac",2005-02-23,2005,"645","Upland Wildlife Habitat Management","CRP","Crop","{8107F607-0D06-423D-9B4C-3FA6FD202898}",389.2,"170701020307","NRCS","no","no",1,1,0
"4390",2,"No",2006-12-07,2007,"648","Wildlife Watering Facility","CRP","Crop","{8107F607-0D06-423D-9B4C-3FA6FD202898}",389.2,"170701020307","NRCS","no","no",1,1,0
"4391",2.4,"Ac",2016-10-30,2017,"327","Conservation Cover","CRP","Crop","{81170B1F-B8B5-4191-AAA4-DBCEACE8A851}",2.4,"170701020601","NRCS","yes","yes",1,1,0
"4392",2.4,"Ac",2016-10-30,2017,"472","Access Control","CRP","Crop","{81170B1F-B8B5-4191-AAA4-DBCEACE8A851}",2.4,"170701020601","NRCS","no","no",1,1,0
"4393",30.1,"Ac",2022-07-05,2022,"327","Conservation Cover","CTA-GENRL","Crop","{816DD638-D77C-43BF-A706-E16495BF057F}",30.1,"170601070701","NRCS","yes","yes",1,1,0
"4394",30.1,"Ac",2022-07-05,2022,"472","Access Control","CTA-GENRL","Crop","{816DD638-D77C-43BF-A706-E16495BF057F}",30.1,"170601070701","NRCS","yes","yes",1,1,0
"4395",1.9,"Ac",2008-03-10,2008,"590","Nutrient Management","EQIP","Crop","{816DE146-5D32-4142-A734-4408EA6B1891}",1.9,"170601070608","NRCS","no","no",1,1,0
"4396",1.9,"Ac",2008-03-11,2008,"595","Pest Management Conservation System","EQIP","Crop","{816DE146-5D32-4142-A734-4408EA6B1891}",1.9,"170601070608","NRCS","no","no",1,1,0
"4397",14.6,"Ac",2012-10-30,2013,"327","Conservation Cover","CRP","Crop","{816FE179-77DC-46E8-B81A-AB4A462EF6EB}",14.56,"170701020401","NRCS","yes","no",1,1,0
"4398",14.6,"Ac",2017-01-26,2017,"327","Conservation Cover","CRP","Crop","{816FE179-77DC-46E8-B81A-AB4A462EF6EB}",14.56,"170701020401","NRCS","yes","no",1,1,0
"4399",14.5,"Ac",2022-09-30,2022,"327","Conservation Cover","CTA-GENRL","Crop","{816FE179-77DC-46E8-B81A-AB4A462EF6EB}",14.56,"170701020401","NRCS","yes","yes",1,1,0
"4400",14.6,"Ac",2012-10-30,2013,"472","Access Control","CRP","Crop","{816FE179-77DC-46E8-B81A-AB4A462EF6EB}",14.56,"170701020401","NRCS","yes","no",1,1,0
"4401",14.5,"Ac",2022-09-30,2022,"472","Access Control","CTA-GENRL","Crop","{816FE179-77DC-46E8-B81A-AB4A462EF6EB}",14.56,"170701020401","NRCS","yes","yes",1,1,0
"4402",14.6,"Ac",2012-10-30,2013,"645","Upland Wildlife Habitat Management","CRP","Crop","{816FE179-77DC-46E8-B81A-AB4A462EF6EB}",14.56,"170701020401","NRCS","no","no",1,1,0
"4403",100.1,"Ac",2022-12-28,2023,"340","Cover Crop","EQIP","Crop","{81DA0E1D-6D60-4F00-94A9-4ABF01E47799}",100.1,"170701020308","Other source","yes","no",1,1,0
"4404",100.1,"Ac",2024-02-28,2024,"340","Cover Crop","EQIP","Crop","{81DA0E1D-6D60-4F00-94A9-4ABF01E47799}",100.1,"170701020308","Other source","yes","no",1,1,0
"4405",100.1,"Ac",2023-07-12,2023,"345","Residue and Tillage Management, Reduced Till","EQIP","Crop","{81DA0E1D-6D60-4F00-94A9-4ABF01E47799}",100.1,"170701020308","Other source","no","no",1,1,0
"4406",100.1,"Ac",2021-09-30,2021,"590","Nutrient Management","CStwP","Crop","{81DA0E1D-6D60-4F00-94A9-4ABF01E47799}",100.1,"170701020308","Other source","yes","no",1,1,0
"4407",100.1,"Ac",2022-09-30,2022,"590","Nutrient Management","CStwP","Crop","{81DA0E1D-6D60-4F00-94A9-4ABF01E47799}",100.1,"170701020308","Other source","yes","no",1,1,0
"4408",100.1,"Ac",2023-09-29,2023,"590","Nutrient Management","CStwP","Crop","{81DA0E1D-6D60-4F00-94A9-4ABF01E47799}",100.1,"170701020308","Other source","yes","no",1,1,0
"4409",100.1,"Ac",2021-09-30,2021,"E590B","Reduce risks of nutrient loss to surface water by utilizing precision agriculture technologies","CStwP","Crop","{81DA0E1D-6D60-4F00-94A9-4ABF01E47799}",100.1,"170701020308","Other source","yes","no",1,1,0
"4410",100.1,"Ac",2022-09-30,2022,"E590B","Reduce risks of nutrient loss to surface water by utilizing precision agriculture technologies","CStwP","Crop","{81DA0E1D-6D60-4F00-94A9-4ABF01E47799}",100.1,"170701020308","Other source","yes","no",1,1,0
"4411",100.1,"Ac",2023-09-29,2023,"E590B","Reduce risks of nutrient loss to surface water by utilizing precision agriculture technologies","CStwP","Crop","{81DA0E1D-6D60-4F00-94A9-4ABF01E47799}",100.1,"170701020308","Other source","yes","no",1,1,0
"4412",100.1,"Ac",2021-09-30,2021,"E595A","Reduce risk of pesticides in surface water by utilizing precision pesticide application techniques","CStwP","Crop","{81DA0E1D-6D60-4F00-94A9-4ABF01E47799}",100.1,"170701020308","Other source","yes","no",1,1,0
"4413",100.1,"Ac",2022-09-30,2022,"E595A","Reduce risk of pesticides in surface water by utilizing precision pesticide application techniques","CStwP","Crop","{81DA0E1D-6D60-4F00-94A9-4ABF01E47799}",100.1,"170701020308","Other source","yes","no",1,1,0
"4414",100.1,"Ac",2023-09-29,2023,"E595A","Reduce risk of pesticides in surface water by utilizing precision pesticide application techniques","CStwP","Crop","{81DA0E1D-6D60-4F00-94A9-4ABF01E47799}",100.1,"170701020308","Other source","yes","no",1,1,0
"4415",57.1,"Ac",2008-10-30,2009,"327","Conservation Cover","CRP","Associated Ag Land","{81DD6903-7598-4985-AC26-30BDCE205393}",57.1,"170601070607","NRCS","yes","no",1,1,0
"4416",57.1,"Ac",2013-10-30,2014,"327","Conservation Cover","CRP","Associated Ag Land","{81DD6903-7598-4985-AC26-30BDCE205393}",57.1,"170601070607","NRCS","yes","no",1,1,0
"4417",57.1,"Ac",2008-10-30,2009,"472","Access Control","CRP","Associated Ag Land","{81DD6903-7598-4985-AC26-30BDCE205393}",57.1,"170601070607","NRCS","no","no",1,1,0
"4418",57.1,"Ac",2008-10-30,2009,"645","Upland Wildlife Habitat Management","CRP","Associated Ag Land","{81DD6903-7598-4985-AC26-30BDCE205393}",57.1,"170601070607","NRCS","no","no",1,1,0
"4419",14.8,"Ac",2015-10-30,2016,"393","Filter Strip","CRP","Associated Ag Land","{81E46A79-D63E-49F1-B1B5-90D59B7CDCA6}",14.8,"170701020401","NRCS","no","no",1,1,0
"4420",14.8,"Ac",2015-10-30,2016,"472","Access Control","CRP","Associated Ag Land","{81E46A79-D63E-49F1-B1B5-90D59B7CDCA6}",14.8,"170701020401","NRCS","no","no",1,1,0
"4421",14.8,"Ac",2015-10-30,2016,"645","Upland Wildlife Habitat Management","CRP","Associated Ag Land","{81E46A79-D63E-49F1-B1B5-90D59B7CDCA6}",14.8,"170701020401","NRCS","no","no",1,1,0
"4422",63.5,"Ac",2023-09-29,2023,"595","Pest Management Conservation System","CStwP","Crop","{82091498-EAAF-41FE-815E-FA4CA54413A6}",63.5,"170601070808","NRCS","no","no",1,1,0
"4423",36.1,"Ac",2023-09-30,2023,"E528Q","Use of body condition scoring for livestock on a monthly basis to keep track of herd health","CStwP","Range","{820C37DB-B90E-4B06-AEAB-3895B4CA4EC7}",36.1,"170601070804","NRCS","no","no",1,1,0
"4424",12,"Ac",2004-10-30,2005,"391","Riparian Forest Buffer","CRP","Other Rural Land","{82178B47-03EE-4BB9-8B53-11AD413642B3}",12,"170601070606","NRCS","no","no",1,1,0
"4425",12,"Ac",2004-04-01,2004,"472","Access Control","CRP","Other Rural Land","{82178B47-03EE-4BB9-8B53-11AD413642B3}",12,"170601070606","NRCS","no","no",1,1,0
"4426",3,"Ac",2004-04-01,2004,"490","Tree/Shrub Site Preparation","CRP","Other Rural Land","{82178B47-03EE-4BB9-8B53-11AD413642B3}",12,"170601070606","NRCS","no","no",1,1,0
"4427",3,"Ac",2004-04-01,2004,"612","Tree/Shrub Establishment","CRP","Other Rural Land","{82178B47-03EE-4BB9-8B53-11AD413642B3}",12,"170601070606","NRCS","no","no",1,1,0
"4428",12,"Ac",2004-04-01,2004,"645","Upland Wildlife Habitat Management","CRP","Other Rural Land","{82178B47-03EE-4BB9-8B53-11AD413642B3}",12,"170601070606","NRCS","no","no",1,1,0
"4429",43.4,"Ac",2006-10-19,2007,"329","Residue and Tillage Management, No Till","EQIP","Crop","{822DED4D-B588-4D74-8CCB-EB322028B9C8}",43.4,"170701020402","NRCS","yes","no",1,1,0
"4430",43.4,"Ac",2008-11-03,2009,"329","Residue and Tillage Management, No Till","EQIP","Crop","{822DED4D-B588-4D74-8CCB-EB322028B9C8}",43.4,"170701020402","NRCS","yes","no",1,1,0
"4431",43.4,"Ac",2010-10-29,2011,"329","Residue and Tillage Management, No Till","EQIP","Crop","{822DED4D-B588-4D74-8CCB-EB322028B9C8}",43.4,"170701020402","NRCS","yes","no",1,1,0
"4432",1.8,"Ac",2014-08-26,2014,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CStwP","Crop","{824291A8-690C-4533-A113-F225E6D678C1}",1.8,"170601070506","NRCS","no","no",1,1,0
"4433",1.8,"Ac",2014-08-26,2014,"AIR07","GPS, targeted spray application (SmartSprayer), or other chemical application electronic control tec","CStwP","Crop","{824291A8-690C-4533-A113-F225E6D678C1}",1.8,"170601070506","NRCS","no","no",1,1,0
"4434",1.8,"Ac",2014-08-26,2014,"WQL05","Apply nutrients no more than 30 days prior to planned planting date","CStwP","Crop","{824291A8-690C-4533-A113-F225E6D678C1}",1.8,"170601070506","NRCS","no","no",1,1,0
"4435",1.8,"Ac",2014-08-26,2014,"WQL09","Apply phosphorus fertilizer below soil surface","CStwP","Crop","{824291A8-690C-4533-A113-F225E6D678C1}",1.8,"170601070506","NRCS","no","no",1,1,0
"4436",22.3,"Ac",2013-01-02,2013,"EPM","Enhancement - Pest Management","CSP","Pasture","{825F0E7C-AC02-40C9-9577-051F1F47CB91}",22.3,"170601070608","NRCS","yes","yes",1,1,0
"4437",22.3,"Ac",2013-01-02,2013,"EPP","Existing Practice Payment","CSP","Pasture","{825F0E7C-AC02-40C9-9577-051F1F47CB91}",22.3,"170601070608","NRCS","yes","yes",1,1,0
"4438",22.3,"Ac",2013-01-02,2013,"SP","Stewardship Payment","CSP","Pasture","{825F0E7C-AC02-40C9-9577-051F1F47CB91}",22.3,"170601070608","NRCS","yes","yes",1,1,0
"4439",65.7,"Ac",2006-08-02,2006,"327","Conservation Cover","CRP","Crop","{82668466-1377-4815-9226-84A1FC87D8FA}",65.7,"170601070701","NRCS","no","no",1,1,0
"4440",65.7,"Ac",2006-08-02,2006,"472","Access Control","CRP","Crop","{82668466-1377-4815-9226-84A1FC87D8FA}",65.7,"170601070701","NRCS","no","no",1,1,0
"4441",65.7,"Ac",2006-08-02,2006,"645","Upland Wildlife Habitat Management","CRP","Crop","{82668466-1377-4815-9226-84A1FC87D8FA}",65.7,"170601070701","NRCS","no","no",1,1,0
"4442",3,"Ac",2011-06-09,2011,"490","Tree/Shrub Site Preparation","EQIP","Forest","{827ABDF8-DC23-40AE-91FC-C1307DF06652}",3,"170701020306","NRCS","no","no",1,1,0
"4443",3,"Ac",2011-06-09,2011,"612","Tree/Shrub Establishment","EQIP","Forest","{827ABDF8-DC23-40AE-91FC-C1307DF06652}",3,"170701020306","NRCS","no","no",1,1,0
"4444",27.9,"Ac",2011-06-01,2011,"329","Residue and Tillage Management, No Till","CTA-GENRL","Crop","{829CFE78-845C-4CC9-A124-B8E24B382586}",27.9,"170701020308","NRCS","no","no",1,1,0
"4445",155.2,"Ac",2023-09-29,2023,"595","Pest Management Conservation System","CStwP","Crop","{82BCC08A-1F5B-4165-B239-E733CD511259}",155.2,"170601070703","NRCS","no","no",1,1,0
"4446",509.3,"Ac",2008-10-01,2009,"327","Conservation Cover","CRP","Crop","{82C45808-255B-416D-8CC9-4E5214F01DA3}",509.3,"170601100101","NRCS","yes","yes",1,1,0
"4447",509.3,"Ac",2008-10-01,2009,"472","Access Control","CRP","Crop","{82C45808-255B-416D-8CC9-4E5214F01DA3}",509.3,"170601100101","NRCS","no","no",1,1,0
"4448",509.3,"Ac",2008-10-01,2009,"645","Upland Wildlife Habitat Management","CRP","Crop","{82C45808-255B-416D-8CC9-4E5214F01DA3}",509.3,"170601100101","NRCS","no","no",1,1,0
"4449",58.6,"Ac",2008-04-10,2008,"329","Residue and Tillage Management, No Till","CTA-GENRL","Crop","{82D424F0-9AC3-4470-817C-279FD5DE51CE}",58.6,"170701020503","NRCS","yes","no",1,1,0
"4450",58.6,"Ac",2009-06-06,2009,"329","Residue and Tillage Management, No Till","CTA-GENRL","Crop","{82D424F0-9AC3-4470-817C-279FD5DE51CE}",58.6,"170701020503","NRCS","yes","no",1,1,0
"4451",58.6,"Ac",2005-11-14,2006,"329A","Residue Management, No-Till/Strip Till","CTA-GENRL","Crop","{82D424F0-9AC3-4470-817C-279FD5DE51CE}",58.6,"170701020503","NRCS","yes","no",1,1,0
"4452",58.6,"Ac",2008-04-14,2008,"329A","Residue Management, No-Till/Strip Till","CTA-GENRL","Crop","{82D424F0-9AC3-4470-817C-279FD5DE51CE}",58.6,"170701020503","NRCS","yes","no",1,1,0
"4453",71.8,"Ac",2010-10-29,2011,"590","Nutrient Management","EQIP","Crop","{82D82599-DA62-4BC3-9DBC-A78D34732467}",71.8,"170701020306","NRCS","yes","no",1,1,0
"4454",71.8,"Ac",2012-05-14,2012,"590","Nutrient Management","EQIP","Crop","{82D82599-DA62-4BC3-9DBC-A78D34732467}",71.8,"170701020306","NRCS","yes","no",1,1,0
"4455",71.8,"Ac",2010-10-29,2011,"595","Pest Management Conservation System","EQIP","Crop","{82D82599-DA62-4BC3-9DBC-A78D34732467}",71.8,"170701020306","NRCS","yes","no",1,1,0
"4456",71.8,"Ac",2011-11-09,2012,"595","Pest Management Conservation System","EQIP","Crop","{82D82599-DA62-4BC3-9DBC-A78D34732467}",71.8,"170701020306","NRCS","yes","no",1,1,0
"4457",36.4,"Ac",2008-10-30,2009,"327","Conservation Cover","CRP","Crop","{82F32D83-588B-4427-A6E0-7C6909025434}",36.4,"170601070505","NRCS","yes","no",1,1,0
"4458",36.4,"Ac",2013-10-30,2014,"327","Conservation Cover","CRP","Crop","{82F32D83-588B-4427-A6E0-7C6909025434}",36.4,"170601070505","NRCS","yes","no",1,1,0
"4459",36.4,"Ac",2008-10-30,2009,"472","Access Control","CRP","Crop","{82F32D83-588B-4427-A6E0-7C6909025434}",36.4,"170601070505","NRCS","no","no",1,1,0
"4460",36.4,"Ac",2008-10-30,2009,"645","Upland Wildlife Habitat Management","CRP","Crop","{82F32D83-588B-4427-A6E0-7C6909025434}",36.4,"170601070505","NRCS","no","no",1,1,0
"4461",67.9,"Ac",2018-09-13,2018,"329","Residue and Tillage Management, No Till","CTA-GENRL","Crop","{830271D8-5533-41A2-833A-ABFE2D9AB632}",67.9,"170601070807","NRCS","yes","no",1,1,0
"4462",67.9,"Ac",2019-09-19,2019,"329","Residue and Tillage Management, No Till","CTA-GENRL","Crop","{830271D8-5533-41A2-833A-ABFE2D9AB632}",67.9,"170601070807","NRCS","yes","no",1,1,0
"4463",67.9,"Ac",2020-09-16,2020,"329","Residue and Tillage Management, No Till","CTA-GENRL","Crop","{830271D8-5533-41A2-833A-ABFE2D9AB632}",67.9,"170601070807","NRCS","yes","no",1,1,0
"4464",273.7,"Ac",2023-09-15,2023,"345","Residue and Tillage Management, Reduced Till","CTA-GENRL","Crop","{830366B0-AA0A-405C-BC00-D95016FAF33C}",273.7,"170601070607","NRCS","no","no",1,1,0
"4465",273.7,"Ac",2023-09-15,2023,"590","Nutrient Management","CTA-GENRL","Crop","{830366B0-AA0A-405C-BC00-D95016FAF33C}",273.7,"170601070607","NRCS","no","no",1,1,0
"4466",273.7,"Ac",2021-09-30,2021,"E345A","Reduced tillage to reduce soil erosion","CStwP","Crop","{830366B0-AA0A-405C-BC00-D95016FAF33C}",273.7,"170601070607","Other source","yes","no",1,1,0
"4467",273.7,"Ac",2022-09-30,2022,"E345A","Reduced tillage to reduce soil erosion","CStwP","Crop","{830366B0-AA0A-405C-BC00-D95016FAF33C}",273.7,"170601070607","Other source","yes","no",1,1,0
"4468",273.7,"Ac",2023-09-30,2023,"E345A","Reduced tillage to reduce soil erosion","CStwP","Crop","{830366B0-AA0A-405C-BC00-D95016FAF33C}",273.7,"170601070607","Other source","yes","no",1,1,0
"4469",273.7,"Ac",2021-09-30,2021,"E590B","Reduce risks of nutrient loss to surface water by utilizing precision agriculture technologies","CStwP","Crop","{830366B0-AA0A-405C-BC00-D95016FAF33C}",273.7,"170601070607","Other source","yes","no",1,1,0
"4470",273.7,"Ac",2022-09-30,2022,"E590B","Reduce risks of nutrient loss to surface water by utilizing precision agriculture technologies","CStwP","Crop","{830366B0-AA0A-405C-BC00-D95016FAF33C}",273.7,"170601070607","Other source","yes","no",1,1,0
"4471",273.7,"Ac",2023-09-30,2023,"E590B","Reduce risks of nutrient loss to surface water by utilizing precision agriculture technologies","CStwP","Crop","{830366B0-AA0A-405C-BC00-D95016FAF33C}",273.7,"170601070607","Other source","yes","no",1,1,0
"4472",5.7,"Ac",2013-09-13,2013,"327","Conservation Cover","CRP","Crop","{83361E5C-A5D5-4D31-8EB9-CFB25AFE2A6D}",5.69,"170701020504","NRCS","yes","yes",1,1,0
"4473",11.3,"Ac",2023-09-14,2023,"327","Conservation Cover","CTA-GENRL","Crop","{83361E5C-A5D5-4D31-8EB9-CFB25AFE2A6D}",5.69,"170701020504","NRCS","yes","yes",1,1,0
"4474",5.7,"Ac",2013-09-13,2013,"472","Access Control","CRP","Crop","{83361E5C-A5D5-4D31-8EB9-CFB25AFE2A6D}",5.69,"170701020504","NRCS","no","no",1,1,0
"4475",8.8,"Ac",2017-01-25,2017,"327","Conservation Cover","CRP","Crop","{83524003-391A-4415-AEA0-C003F8A7DB3A}",8.8,"170701020307","NRCS","no","no",1,1,0
"4476",8.8,"Ac",2013-10-30,2014,"472","Access Control","CRP","Crop","{83524003-391A-4415-AEA0-C003F8A7DB3A}",8.8,"170701020307","NRCS","no","no",1,1,0
"4477",96.9,"Ac",2006-04-01,2006,"777","Residue Management -Direct Seed","CTA-GENRL","Crop","{835AACE7-1D87-4483-A7D1-D1E21DF05157}",96.9,"170601070504","NRCS","yes","no",1,1,0
"4478",96.9,"Ac",2009-07-21,2009,"777","Residue Management -Direct Seed","EQIP","Crop","{835AACE7-1D87-4483-A7D1-D1E21DF05157}",96.9,"170601070504","NRCS","yes","no",1,1,0
"4479",96.9,"Ac",2009-10-26,2010,"777","Residue Management -Direct Seed","CTA-GENRL","Crop","{835AACE7-1D87-4483-A7D1-D1E21DF05157}",96.9,"170601070504","NRCS","yes","no",1,1,0
